player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,School_Yr,ht,porpag,adjoe,pfr,Date_Yr,pid,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
ISAIAH FELDER,South Carolina St.,MEAC,11,17.6,61.1,18.6,34.7,35.18,2.5,15.7,8.1,30.4,1,2,0.5,2,8,0.25,7,28,0.25,0.0,0.9,5.6,Sr,72,-1.11,57.5491,2.8,2022,39014,2.0,4.0,0.0,4.0,0.5,0.0,0.0,0.0,0.0,110.192,116.018,0.450228,21.5242,-11.2376,-7.65745,-3.5802,-11.9072,11.5455,-7.49472,-4.41253,0.2727,1.4545,1.7273,0.4545,0.1818,0.0,2.3636,Wing G
JALEN COLEMAN-LANDS,Kansas,B12,23,78.5,103.1,21.5,54.0,56.12,3.6,10.2,7.8,16.1,31,36,0.861,62,129,0.481,58,147,0.395,0.3,1.4,13.0,Sr,76,2.97703,111.426,3.5,2022,40204,14.0,26.0,48.0,103.0,0.5385,0.466,0.0,0.0,0.0,111.792,104.306,2.61067,114.531,1.06444,2.41992,-1.35548,1.87461,32.7826,2.89361,-1.019,1.0435,2.8696,3.913,1.1739,0.8261,0.087,14.3043,Wing G
K.J. WALTON,Akron,MAC,20,63.0,108.6,26.5,54.3,58.88,9.1,12.6,8.9,17.2,73,92,0.793,127,231,0.55,0,3,0.0,0.7,2.4,39.3,Sr,75,3.09736,116.101,3.3,2022,41728,101.0,153.0,39.0,99.0,0.6601,0.3939,4.0,4.0,1.0,102.687,101.181,2.61834,115.797,1.2019,1.14748,0.0544167,2.45207,29.3,2.78785,-0.335789,2.35,3.55,5.9,1.15,1.25,0.2,16.35,Wing G
JERIAH HORNE,Tulsa,Amer,32,61.3,116.0,20.8,55.2,58.61,5.8,23.0,7.5,13.0,48,53,0.906,71,139,0.511,52,131,0.397,0.3,1.5,19.6,Sr,79,3.27789,123.812,2.6,2022,44216,38.0,59.0,33.0,80.0,0.6441,0.4125,3.0,5.0,0.6,94.5248,89.0636,3.2469,156.594,5.48359,4.02187,1.46172,6.94537,24.5,5.22379,1.72158,1.125,4.7188,5.8438,0.9062,0.5938,0.0625,10.8125,Stretch 4
ERIC CURRY,Minnesota,B10,29,39.2,95.1,14.7,46.3,48.72,7.0,13.7,10.2,20.7,18,29,0.621,38,74,0.514,4,21,0.19,1.5,2.9,30.5,Sr,81,0.435561,93.2541,4.9,2022,44217,18.0,30.0,20.0,43.0,0.6,0.4651,0.0,0.0,0.0,100.182,93.0315,1.86374,94.0276,2.45292,-0.559305,3.01222,1.49355,15.8966,-1.25322,2.74677,1.1034,1.9655,3.069,0.8276,0.8276,0.2414,3.6552,Wing F
JAILYN INGRAM,Georgia,SEC,18,59.2,98.4,23.5,46.0,47.59,5.3,22.7,14.7,15.6,16,22,0.727,48,116,0.414,25,70,0.357,1.8,1.8,11.8,Sr,79,1.3627,100.968,2.8,2022,44344,26.0,45.0,22.0,71.0,0.5778,0.3099,4.0,5.0,0.8,97.3568,100.272,2.34024,92.941,0.27805,-0.491247,0.769296,1.49149,23.9545,1.32912,0.162368,1.2727,4.7273,6.0,1.7273,0.9091,0.4091,12.4091,Stretch 4
CHARLIE MOORE,Miami FL,ACC,16,67.1,96.3,26.6,47.4,50.23,2.5,9.6,28.2,21.9,32,42,0.762,57,128,0.445,28,81,0.346,0.0,1.9,20.1,Sr,71,2.68362,109.564,2.9,2022,44420,34.0,73.0,23.0,56.0,0.4658,0.4107,0.0,0.0,0.0,103.6,98.3411,3.19216,87.1473,2.09523,2.11518,-0.0199582,1.41982,32.3125,1.58012,-0.160305,0.75,2.875,3.625,4.1875,1.0625,0.0,14.375,Scoring PG
BEN SHUNGU,Vermont,AE,15,73.0,114.7,20.4,51.9,59.99,2.3,15.9,23.0,18.6,51,59,0.864,36,64,0.563,13,43,0.302,1.1,1.6,55.1,Sr,74,2.80473,112.955,2.8,2022,44546,30.0,43.0,6.0,21.0,0.6977,0.2857,0.0,0.0,0.0,94.2022,100.348,2.72453,84.2223,2.59788,2.35285,0.245032,3.20415,29.6667,2.20548,0.998674,0.5333,4.0,4.5333,3.5333,0.8,0.2667,10.8,Combo G
KEON CLERGEOT,Southeastern Louisiana,Slnd,24,72.7,101.5,25.9,47.1,57.34,2.6,9.1,15.7,22.9,154,192,0.802,67,148,0.453,31,93,0.333,0.3,1.7,79.7,Sr,73,2.09826,104.472,3.8,2022,44685,52.0,97.0,15.0,51.0,0.5361,0.2941,3.0,3.0,1.0,109.842,112.655,1.5943,124.906,-4.13495,-0.464478,-3.67048,-2.1961,31.9583,0.146347,-2.34245,0.7917,2.25,3.0417,2.1667,1.0,0.0833,15.875,Combo G
BRYCE AIKEN,Seton Hall,BE,14,18.4,99.5,23.5,38.9,47.16,0.0,7.5,20.9,13.7,24,27,0.889,13,35,0.371,10,37,0.27,0.0,1.5,37.5,Sr,72,1.25818,110.736,3.4,2022,44711,11.0,23.0,2.0,12.0,0.4783,0.1667,0.0,0.0,0.0,106.515,98.2395,1.43278,29.3843,-2.02187,0.63282,-2.65469,-1.4947,14.3571,-0.495075,-0.999621,0.0,0.9286,0.9286,1.5,0.3571,0.0,5.7143,Scoring PG
